,Keyword,avg_searches,Competition,competition_index
0,servicios financieros,500.0,Baja,9.0
1,asesores financieros,500.0,Media,41.0
2,asesores financieros para particulares,500.0,Media,42.0
3,inversiones financieras,500.0,Baja,24.0
4,asesor financiero personal,500.0,Media,38.0
5,analisis financiero,500.0,Baja,15.0
6,consultoria financiera,500.0,Baja,8.0
7,asesor financiero online,500.0,Media,51.0
8,entidades financieras,500.0,Baja,12.0
9,financieros,5000.0,Media,35.0
10,banco financiero,500.0,Baja,19.0
11,intermediarios financieros,500.0,Baja,6.0
12,abanca financiera,500.0,Baja,2.0
13,financiera caixabank,500.0,Baja,4.0
14,financiera sabadell,500.0,Baja,4.0
15,control financiero,500.0,Baja,5.0
16,servicio financiero carrefour,5000.0,Baja,1.0
17,financiera bbva telefono,5000.0,Baja,1.0
18,azierta servicios financieros,500.0,Baja,2.0
19,financiera abanca,500.0,Baja,3.0
20,financiera alcampo,500.0,Baja,11.0
21,financiero banco,500.0,Baja,19.0
22,ibercaja financiero,500.0,Baja,7.0
23,instituciones financiera,500.0,Baja,2.0
24,planificadores financieros,500.0,Alta,93.0
25,servicio financiero el corte inglés,500.0,Baja,0.0
